,name,github_id,category,show,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,projectrank_placing,trending,dependent_project_count,github_dependent_project_count
10,etal/cnvkit,etal/cnvkit,cnv-calling,True,https://github.com/etal/cnvkit,https://github.com/etal/cnvkit,,2014-07-07 20:12:27,2024-04-11 18:20:53,2024-03-06 01:45:24,1742,2.0,147,32,110.0,290.0,439,467,2023-02-24 18:40:51,0.9.10,,,41.0,Copy number variant detection from targeted DNA sequencing.,38.0,18,1,,28.0,28.0
11,Ensembl/ensembl-vep,Ensembl/ensembl-vep,variant-annotation,True,https://github.com/Ensembl/ensembl-vep,https://github.com/Ensembl/ensembl-vep,Apache-2.0,2016-04-05 12:08:24,2024-04-08 14:41:22,2024-01-17 13:25:24,2512,6.0,146,29,639.0,98.0,916,425,2024-01-11 16:24:13,release/111.0,,,66.0,The Ensembl Variant Effect Predictor predicts the functional effects of genomic variants.,45.0,19,1,,,
12,Illumina/manta,Illumina/manta,sv-calling,True,https://github.com/Illumina/manta,https://github.com/Illumina/manta,GPL-3.0,2013-05-30 19:33:47,2022-12-21 13:34:23,2019-07-17 18:40:08,2631,,149,41,9.0,128.0,174,384,2019-07-17 18:30:16,1.5.1,42886.0,340.0,54.0,Structural variant and indel caller for mapped sequencing data.,24.0,20,1,1.0,,
13,Illumina/strelka,Illumina/strelka,variant-calling,True,https://github.com/Illumina/strelka,https://github.com/Illumina/strelka,GPL-3.0,2016-10-17 23:30:24,2021-12-29 17:03:24,2019-02-06 00:41:27,3315,,102,29,4.0,126.0,110,347,2018-11-08 00:50:05,2.9.10,35290.0,392.0,18.0,Strelka2 germline and somatic small variant caller.,32.0,18,3,,,
14,brentp/somalier,brentp/somalier,relationship,True,https://github.com/brentp/somalier,https://github.com/brentp/somalier,MIT,2018-08-07 14:52:04,2024-02-02 15:57:59,2024-02-02 15:57:56,277,2.0,33,11,12.0,48.0,74,252,2023-09-20 09:05:10,0.2.19,13912.0,204.0,27.0,fast sample-swap and relatedness checks on BAMs/CRAMs/VCFs/GVCFs... like damn that is one smart wine guy.,8.0,16,1,,,
15,pcingola/SnpEff,pcingola/SnpEff,variant-annotation,True,https://github.com/pcingola/SnpEff,https://github.com/pcingola/SnpEff,,2014-01-31 22:22:33,2024-04-09 16:21:22,2024-04-09 16:21:19,2643,17.0,70,24,51.0,28.0,450,226,,,,,,,21.0,15,3,1.0,,
16,GregoryFaust/samblaster,GregoryFaust/samblaster,bam-related,True,https://github.com/GregoryFaust/samblaster,https://github.com/GregoryFaust/samblaster,MIT,2014-02-11 18:27:47,2021-08-11 23:01:14,2020-06-04 16:29:03,88,,28,19,9.0,13.0,36,210,2020-06-04 16:29:22,.0.1.26,44396.0,366.0,14.0,samblaster: a tool to mark duplicates and extract discordant and split reads from sam files.,5.0,14,3,,,
17,WGLab/doc-ANNOVAR,WGLab/doc-ANNOVAR,variant-annotation,True,https://github.com/WGLab/doc-ANNOVAR,https://github.com/WGLab/doc-ANNOVAR,,2015-03-03 17:39:50,2024-04-09 14:07:57,2024-04-09 14:07:57,723,4.0,309,26,11.0,109.0,121,207,,,,,,Documentation for the ANNOVAR software.,8.0,13,3,1.0,,
18,FRED-2/OptiType,FRED-2/OptiType,gene-typing,True,https://github.com/FRED-2/OptiType,https://github.com/FRED-2/OptiType,BSD-3-Clause,2014-05-07 12:08:32,2024-03-05 16:50:13,2020-09-15 10:27:36,136,,70,15,33.0,47.0,66,171,2020-09-15 10:42:30,1.3.5,,,7.0,Precision HLA typing from next-generation sequencing data.,13.0,14,1,,,
19,Illumina/ExpansionHunter,Illumina/ExpansionHunter,gene-typing,True,https://github.com/Illumina/ExpansionHunter,https://github.com/Illumina/ExpansionHunter,,2016-11-10 19:53:15,2024-01-30 19:40:13,2024-01-30 19:40:13,240,1.0,52,30,82.0,67.0,43,167,2021-08-20 15:13:54,5.0.0,10004.0,113.0,23.0,A tool for estimating repeat sizes.,17.0,13,2,-1.0,,
20,lh3/bedtk,lh3/bedtk,bed-related,True,https://github.com/lh3/bedtk,https://github.com/lh3/bedtk,MIT,2019-10-02 18:29:37,2022-04-01 14:45:00,2022-04-01 14:44:55,30,,13,8,2.0,,1,123,,,,,,A simple toolset for BED files (warning: CLI may change before bedtk becomes stable).,3.0,7,3,,,
21,shubhamchandak94/Spring,shubhamchandak94/Spring,fastq-compression,True,https://github.com/shubhamchandak94/Spring,https://github.com/shubhamchandak94/Spring,,2018-04-03 18:29:30,2023-08-15 00:49:19,2023-05-27 02:28:55,59,,21,16,2.0,1.0,33,108,2023-05-28 06:27:06,1.1.1,,,4.0,FASTQ compression.,,10,1,,,
22,humanlongevity/HLA,humanlongevity/HLA,gene-typing,True,https://github.com/humanlongevity/HLA,https://github.com/humanlongevity/HLA,,2017-06-20 00:18:07,2023-10-13 15:01:05,2017-10-04 19:06:05,160,,46,10,4.0,46.0,17,94,,,,,,xHLA: Fast and accurate HLA typing from short read sequence data.,4.0,8,3,,,
23,lh3/tabtk,lh3/tabtk,bed-related,True,https://github.com/lh3/tabtk,https://github.com/lh3/tabtk,,2014-09-08 14:01:44,2016-09-08 13:57:23,2016-08-11 18:12:28,20,,11,10,,1.0,1,59,2016-09-08 13:57:23,0.1,,,1.0,Toolkit for processing TAB-delimited format.,,4,3,,,
24,Illumina/SMNCopyNumberCaller,Illumina/SMNCopyNumberCaller,gene-typing,True,https://github.com/Illumina/SMNCopyNumberCaller,https://github.com/Illumina/SMNCopyNumberCaller,,2019-08-22 20:54:55,2023-10-14 17:53:01,2023-10-14 17:53:01,26,,11,10,4.0,5.0,5,48,2021-10-20 17:34:58,1.1.2,,,4.0,A copy number caller for SMN1 and SMN2 to enable SMA diagnosis and carrier screening with WGS.,4.0,8,3,,,
