,name,github_id,category,show,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,projectrank_placing,trending,dependent_project_count,github_dependent_project_count
10,etal/cnvkit,etal/cnvkit,cnv-calling,True,https://github.com/etal/cnvkit,https://github.com/etal/cnvkit,,2014-07-07 20:12:27,2024-04-19 05:13:19,2024-04-12 21:45:07,1762,22.0,152,32,112.0,287.0,444,498,2024-04-13 16:43:31,0.9.11,,,42.0,Copy number variant detection from targeted DNA sequencing.,37.0,22,1,,30.0,30.0
11,Ensembl/ensembl-vep,Ensembl/ensembl-vep,variant-annotation,True,https://github.com/Ensembl/ensembl-vep,https://github.com/Ensembl/ensembl-vep,Apache-2.0,2016-04-05 12:08:24,2024-05-29 08:16:19,2024-04-08 14:39:10,2597,12.0,149,30,645.0,104.0,935,432,2024-05-16 11:00:24,release/112.0,,,67.0,The Ensembl Variant Effect Predictor predicts the functional effects of genomic variants.,45.0,21,1,2.0,,
12,Illumina/manta,Illumina/manta,sv-calling,True,https://github.com/Illumina/manta,https://github.com/Illumina/manta,GPL-3.0,2013-05-30 19:33:47,2022-12-21 13:34:23,2019-07-17 18:40:08,2631,,150,41,9.0,128.0,174,388,2019-07-17 18:30:16,1.5.1,43455.0,342.0,54.0,Structural variant and indel caller for mapped sequencing data.,24.0,20,1,,,
13,Illumina/strelka,Illumina/strelka,variant-calling,True,https://github.com/Illumina/strelka,https://github.com/Illumina/strelka,GPL-3.0,2016-10-17 23:30:24,2021-12-29 17:03:24,2019-02-06 00:41:27,3315,,102,29,4.0,127.0,110,350,2018-11-08 00:50:05,2.9.10,35970.0,395.0,18.0,Strelka2 germline and somatic small variant caller.,32.0,18,3,,,
14,brentp/somalier,brentp/somalier,relationship,True,https://github.com/brentp/somalier,https://github.com/brentp/somalier,MIT,2018-08-07 14:52:04,2024-02-02 15:57:59,2024-02-02 15:57:56,277,,33,11,12.0,49.0,75,254,2023-09-20 09:05:10,0.2.19,14118.0,204.0,27.0,fast sample-swap and relatedness checks on BAMs/CRAMs/VCFs/GVCFs... like damn that is one smart wine guy.,8.0,16,1,,,
15,pcingola/SnpEff,pcingola/SnpEff,variant-annotation,True,https://github.com/pcingola/SnpEff,https://github.com/pcingola/SnpEff,,2014-01-31 22:22:33,2024-05-21 05:58:10,2024-04-09 16:21:19,2643,8.0,71,25,53.0,35.0,452,232,,,,,,,21.0,14,3,,,
16,WGLab/doc-ANNOVAR,WGLab/doc-ANNOVAR,variant-annotation,True,https://github.com/WGLab/doc-ANNOVAR,https://github.com/WGLab/doc-ANNOVAR,,2015-03-03 17:39:50,2024-05-26 17:19:38,2024-05-26 17:19:38,727,6.0,321,26,11.0,113.0,122,214,,,,,,Documentation for the ANNOVAR software.,8.0,13,3,,,
17,GregoryFaust/samblaster,GregoryFaust/samblaster,bam-related,True,https://github.com/GregoryFaust/samblaster,https://github.com/GregoryFaust/samblaster,MIT,2014-02-11 18:27:47,2021-08-11 23:01:14,2020-06-04 16:29:03,88,,29,19,9.0,13.0,36,212,2020-06-04 16:29:22,.0.1.26,44824.0,367.0,14.0,samblaster: a tool to mark duplicates and extract discordant and split reads from sam files.,5.0,14,3,,,
18,lgmgeo/AnnotSV,lgmgeo/AnnotSV,variant-annotation,True,https://github.com/lgmgeo/AnnotSV,https://github.com/lgmgeo/AnnotSV,GPL-3.0,2019-07-09 11:05:44,2024-05-14 08:29:12,2024-05-14 08:23:07,247,12.0,33,10,8.0,16.0,212,194,2024-05-14 08:33:33,3.4.2,,,31.0,Annotation and Ranking of Structural Variation.,5.0,17,2,2.0,,
19,FRED-2/OptiType,FRED-2/OptiType,gene-typing,True,https://github.com/FRED-2/OptiType,https://github.com/FRED-2/OptiType,BSD-3-Clause,2014-05-07 12:08:32,2024-03-05 16:50:13,2020-09-15 10:27:36,136,,70,15,33.0,48.0,66,176,2020-09-15 10:42:30,1.3.5,,,7.0,Precision HLA typing from next-generation sequencing data.,15.0,14,1,,,
20,Illumina/ExpansionHunter,Illumina/ExpansionHunter,gene-typing,True,https://github.com/Illumina/ExpansionHunter,https://github.com/Illumina/ExpansionHunter,,2016-11-10 19:53:15,2024-01-30 19:40:13,2024-01-30 19:40:13,240,,53,30,82.0,68.0,43,173,2021-08-20 15:13:54,5.0.0,10233.0,114.0,23.0,A tool for estimating repeat sizes.,17.0,14,1,,,
21,lh3/bedtk,lh3/bedtk,bed-related,True,https://github.com/lh3/bedtk,https://github.com/lh3/bedtk,MIT,2019-10-02 18:29:37,2024-05-28 21:48:28,2024-05-28 21:48:21,31,1.0,15,8,2.0,,1,132,,,,,,A simple toolset for BED files (warning: CLI may change before bedtk becomes stable).,3.0,7,3,,,
22,shubhamchandak94/Spring,shubhamchandak94/Spring,fastq-compression,True,https://github.com/shubhamchandak94/Spring,https://github.com/shubhamchandak94/Spring,,2018-04-03 18:29:30,2023-08-15 00:49:19,2023-05-27 02:28:55,59,,21,16,2.0,1.0,34,111,2023-05-28 06:27:06,1.1.1,,,4.0,FASTQ compression.,,10,1,,,
23,humanlongevity/HLA,humanlongevity/HLA,gene-typing,True,https://github.com/humanlongevity/HLA,https://github.com/humanlongevity/HLA,,2017-06-20 00:18:07,2023-10-13 15:01:05,2017-10-04 19:06:05,160,,46,10,4.0,46.0,17,96,,,,,,xHLA: Fast and accurate HLA typing from short read sequence data.,4.0,8,3,,,
24,lh3/tabtk,lh3/tabtk,bed-related,True,https://github.com/lh3/tabtk,https://github.com/lh3/tabtk,,2014-09-08 14:01:44,2016-09-08 13:57:23,2016-08-11 18:12:28,20,,12,10,,1.0,1,59,2016-09-08 13:57:23,0.1,,,1.0,Toolkit for processing TAB-delimited format.,,4,3,,,
25,Illumina/SMNCopyNumberCaller,Illumina/SMNCopyNumberCaller,gene-typing,True,https://github.com/Illumina/SMNCopyNumberCaller,https://github.com/Illumina/SMNCopyNumberCaller,,2019-08-22 20:54:55,2023-10-14 17:53:01,2023-10-14 17:53:01,26,,11,10,4.0,5.0,5,49,2021-10-20 17:34:58,1.1.2,,,4.0,A copy number caller for SMN1 and SMN2 to enable SMA diagnosis and carrier screening with WGS.,4.0,8,3,,,
